job_title,company_name,location,department,employment_type,posted_date,job_url,job_description,required_skills,experience,salary
Data Scientist,Spotify,Stockholm /,Engineering – Platform /,Permanent /,Not specified,https://jobs.lever.co/spotify/9a9a4556-2c33-4e0f-8b23-74ac56b603fd,Description not available,r,Not specified,Not specified
Data Scientist,Spotify,London /,Data and Analytics – Experience /,Permanent /,Not specified,https://jobs.lever.co/spotify/cc60212e-e20b-407e-a877-32b3d8dfe11a,Description not available,r,Not specified,Not specified
Machine Learning Engineering Manager,Spotify,"New York, NY /",Engineering – Personalization /,Permanent /,Not specified,https://jobs.lever.co/spotify/e6889c35-76a9-4da7-8dc2-05b6070cc298,Description not available,r,Not specified,Not specified
Machine Learning Engineering Manager,Spotify,"New York, NY",Engineering – Personalization /,Permanent /,Not specified,https://jobs.lever.co/spotify/5277f56c-0e14-4593-921c-5460c46d6a35,"The Surfaces Music team builds the systems that power music recommendations across some of Spotify’s most visible experiences, including Home and the Now Playing view. We work across candidate generation, ranking, and embedding models to help listeners discover both new releases and deep catalog favorites. We’re also shaping the next generation of personalization through transformer-based models that bring more dynamic, context-aware recommendations to millions of listeners. You’ll collaborate closely with teams across Personalization, Experience, and Music to evolve how discovery works across Spotify. Lead and support a team of Backend, Data, and Machine Learning Engineers building recommendation systems used by hundreds of millions of listeners Set the technical direction for recommendation models across surfaces like Home and Now Playing Guide the development of candidate generation, ranking, and embedding systems that improve music discovery Partner with ML platform and infrastructure teams to evolve and scale generative recommendation models Work closely with Product, Data Science, and Design to define success metrics and turn insights into meaningful product improvements Ensure systems are reliable, efficient, and able to operate at global scale with low latency Support strong engineering practices across experimentation, model evaluation, and production monitoring Stay close to the technical work by reviewing architecture decisions and contributing to key discussions Encourage thoughtful adoption of AI-assisted development tools to improve team productivity and reduce repetitive work Create an inclusive, supportive team environment where engineers can grow and do their best work Collaborate with peers across the organization to align on shared goals and technical direction You have 5+ years of experience in software engineering or machine learning, including 2+ years supporting or leading a team You have experience working on recommendation systems, including ranking, retrieval, or embedding-based approaches You understand how to build and operate machine learning systems in production at scale You are familiar with modern machine learning approaches such as deep learning or large language models You have worked with cross-functional partners to deliver complex projects with multiple dependencies You care about building products that are measurable, impactful, and grounded in user needs You are comfortable working with experimentation and using data to guide decisions You create an environment where collaboration, trust, and inclusion are prioritized You stay engaged with technical decisions and enjoy supporting engineers in solving complex problems You are curious about how AI tools can improve engineering workflows and team effectiveness",r,Not specified,Not specified
"Data Scientist, Subscriptions",Spotify,"New York, NY /",Markets and Subscriber Growth – Operations and Strategy /,Permanent /,Not specified,https://jobs.lever.co/spotify/a95830ad-c11f-49da-85a7-04ce47ce532c,Description not available,r,Not specified,Not specified
Data Scientist,Spotify,"New York, NY",Data and Analytics – Music /,Permanent /,Not specified,https://jobs.lever.co/spotify/c4a86464-a90d-4e16-9890-1f79355a41ac,Description not available,r,Not specified,Not specified
Senior Machine Learning Engineer,Spotify,London /,Engineering – Personalization /,Permanent /,Not specified,https://jobs.lever.co/spotify/a05a32fd-477a-4aed-a7d6-b4515d7032a5,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Blend to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you’ll keep millions of users listening by making great recommendations to each and every one of them. The Personalization (PZN) team is at the heart of how Spotify connects listeners with the content they love. Every day, hundreds of millions of people rely on the experiences we build, from Home and Search to Made For You and Discover Weekly. Surfaces-NPV is an EU-based squad within the Surfaces Recommendations product area. We own recommendation quality on the Now Playing View, one of Spotify’s most personal and high-impact surfaces, and drive the introduction of new content verticals. We’re a small, senior-heavy team that values craft, autonomy, and shipping. We use AI coding tools such as Claude Code, experiment constantly, and believe the best ML engineers understand the full stack from user need to production system. Design, train, and ship machine learning models that power recommendations on the Now Playing View for hundreds of millions of users Own ranking systems end-to-end, from experimentation and training pipelines to online serving and monitoring Build and iterate on generative and agentic ML approaches to improve session steering and cross-content discovery Work in an AI-native development environment, using AI tools to accelerate development while applying strong engineering judgment Run A/B experiments, define success metrics, and translate improvements into measurable user impact Collaborate closely with engineers, data scientists, researchers, and product managers to bring ideas into production Shape the ML roadmap by identifying high-impact opportunities and mentor teammates You have hands-on experience building recommendation or personalization systems at scale You’re comfortable working across the ML stack, including pipelines, backend systems, and infrastructure You think in products and understand how model decisions impact user experience You’re fluent with AI-assisted development and use it to accelerate experimentation thoughtfully You’re curious about emerging approaches like generative models and agentic ML systems You’ve taken models from prototype to production and care about reliability and monitoring You’re comfortable with ambiguity and enjoy defining new approaches in evolving problem spaces This role is based in London We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home.",r,Not specified,Not specified
Senior Data Scientist,Spotify,Stockholm /,Engineering – Platform /,Permanent /,Not specified,https://jobs.lever.co/spotify/379a7ab5-0faf-4563-96c0-ed4972bbcb37,Description not available,r,Not specified,Not specified
Senior Staff Machine Learning Engineer,Spotify,"New York, NY",Engineering – Personalization /,Permanent /,Not specified,https://jobs.lever.co/spotify/89c966c0-1975-42a1-850d-10fe20e02b05,Description not available,r,Not specified,Not specified
Machine Learning Engineer,Spotify,"New York, NY",Engineering – Personalization /,Permanent /,Not specified,https://jobs.lever.co/spotify/e200d025-4cff-4eb8-afa4-6680e31c43a2,Description not available,r,Not specified,Not specified
Data Scientist,Spotify,Toronto,Data and Analytics – Platform /,Permanent /,Not specified,https://jobs.lever.co/spotify/71c28dec-d4a1-4e27-bb9b-1dab4a616ce5,Description not available,r,Not specified,Not specified
Data Scientist,Spotify,"New York, NY",Markets and Subscriber Growth – Operations and Strategy /,Permanent /,Not specified,https://jobs.lever.co/spotify/063a7916-cd2b-4e61-a332-30364edf5199,Description not available,r,Not specified,Not specified
